Geography,Reference period,Household final consumption expenditure,Food and non-alcoholic beverages,Food,Non-alcoholic beverages,"Alcoholic beverages, tobacco and cannabis",Alcoholic beverages,Tobacco,Cannabis products for non-medical use (licensed),Cannabis products for non-medical use (unlicensed),Clothing and footwear,"Clothing materials, other articles of clothing and clothing accessories",Garments,Cleaning of clothing,Footwear,"Housing, water, electricity, gas and other fuels",Paid rental fees for housing,Imputed rental fees for housing,Materials for the maintenance and repair of the dwelling,Services for the maintenance and repair of the dwelling,Water supply and sanitation services,Electricity,Gas,Other fuels,"Furnishings, household equipment and other goods and services related to the dwelling and property",Furniture and furnishings,Carpets and other floor coverings,Household textiles,Major household appliances,Small electric household appliances,Major tools and equipment,Small tools and miscellaneous accessories,Other semi-durable household goods,Other non-durable household goods,Repair of personal and household goods except vehicles,Renting and leasing of personal and household goods except passenger vehicles,Other services related to the dwelling and property,Health,Pharmaceutical products and other medical products (except cannabis),Cannabis products for medical use,Therapeutic appliances and equipment,Out-patient services,Hospital services,Transport,New passenger cars,"New trucks, vans and sport utility vehicles",Used motor vehicles,Other vehicles,Spare parts and accessories for vehicles,Fuels and lubricants,Maintenance and repair of vehicles,Parking,Passenger vehicle renting,Other services related to the operation of transport equipment,Urban transit and interurban bus,Taxi and limousine,Air transport,Railway and water transport,Other transport services,Communications,Postal services,Telecommunication equipment,Telecommunication services,Recreation and culture,Audio-visual and photographic equipment,Information processing equipment,Recording media,Major durables for outdoor recreation,Musical instruments and major durables for indoor recreation,"Games, toys and hobbies","Equipment for sport, camping and open-air recreation","Garden products, plants and flowers",Pets and pet food,Veterinary and other services for pets,Recreational and sporting services,"Cable, satellite and other program distribution services",Cinemas,Photographic services,Other cultural services,Games of chance,Books,Newspapers and periodicals,Miscellaneous printed matter and stationery and drawing materials,Education,University education,Other education,"Food, beverage and accommodation services",Food and non-alcoholic beverage services,Alcoholic beverage services,Accommodation services,Insurance and financial services,Life insurance,Property insurance,Health insurance,Insurance related to transport,Implicit loan charges,Implicit deposit charges,Stock and bond commissions,Other actual financial charges,Trusteed pension funds,Mutual funds,Miscellaneous goods and services,Personal grooming services,Electrical appliances for personal care,"Other appliances, articles and products for personal care","Jewellery, clocks and watches",Other personal effects,Child care services outside the home,Child care services in the home,Other social services and funeral services,Legal and other services,Net expenditure abroad,Expenditure by Canadians abroad,Expenditure by Canadians in other provinces or territories,Expenditure by non-residents in Canada,Expenditure by Canadians residing in other provinces or territories
,,Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,"98,273.00","9,327.60","8,354.30",973.3,"4,699.90","2,081.00","1,684.00",..,934.9,"4,069.70",450.2,"2,845.70",182.1,591.6,"23,984.20","5,578.20","15,858.50",229.8,39.7,399.3,844.6,863,171,"5,644.30","1,605.70",94.1,317.1,495.1,156,295.2,208.4,688.9,670,283.3,372.9,457.5,"3,687.60","1,393.30",0,352.2,"1,702.80",239.4,"13,886.20","2,067.00","2,308.50","1,145.50",261.5,"1,451.50","3,119.50",892.1,169.5,155.6,146.4,439.2,103.4,"1,206.70",186.8,233,"2,295.10",167.9,74.3,"2,052.90","9,427.20","1,126.60",410.4,396.3,775.2,166.8,502.3,526.3,353.9,348.8,212.1,977.7,721.3,142.4,135,277,"1,550.80",339.9,236,228.3,"1,578.20",651.3,927,"8,231.70","5,497.00","1,202.40","1,532.30","8,428.00",963.8,172.3,429.9,724.8,"1,344.60","1,300.00",397.9,"1,303.80",283,"1,507.90","4,816.30",781.8,49.8,"1,322.20",452.4,281.3,301.8,138,632,856.9,"-1,802.90","3,439.90","1,007.30","-4,887.50","-1,362.70"
,2005,"103,648.00","9,605.50","8,603.50","1,002.00","4,740.10","2,152.30","1,659.40",..,928.4,"4,200.40",471.3,"2,929.80",182.4,616.9,"25,402.30","5,857.10","16,754.30",248.1,38.2,438.1,844.5,"1,020.80",201.3,"5,955.40","1,716.40",101.2,318.6,517.1,167,312.6,220.4,710.5,692.1,298.7,401.2,499.6,"3,962.30","1,498.80",0,369.3,"1,840.40",253.9,"14,417.20","2,066.80","2,175.20","1,255.10",261.8,"1,527.60","3,369.70",925.1,182.1,157.7,152.3,471.4,107.4,"1,315.00",196.6,253.3,"2,620.90",173.4,78.4,"2,369.10","9,901.20","1,178.30",425.7,410.1,759.9,169.1,531.4,547.7,361,364.4,234.1,"1,034.90",785,134.5,133.9,292,"1,709.70",350.4,241.2,237.7,"1,695.20",711.3,983.9,"8,632.90","5,764.10","1,226.50","1,642.30","9,154.50",985.5,176.2,455.4,779,"1,474.00","1,336.00",477.4,"1,402.80",306.7,"1,761.60","5,087.50",834.6,53.3,"1,375.00",460.6,294.5,323.7,136.4,678.8,930.7,"-1,727.30","3,785.00","1,067.30","-5,139.70","-1,439.90"
,2006,"111,068.00","10,035.70","8,983.40","1,052.30","4,885.30","2,307.00","1,691.20",..,887.2,"4,468.20",496.3,"3,114.90",183.3,673.7,"27,115.00","6,236.70","17,919.40",281.9,41.7,503.6,875.9,"1,055.20",200.6,"6,487.60","1,893.30",110.4,350.9,572.3,181.1,343.4,241.8,765.2,732.7,317.9,429.4,549.2,"4,307.80","1,617.40",0.1,415.7,"1,992.20",282.4,"15,512.90","2,249.20","2,339.10","1,343.00",302.3,"1,659.80","3,620.40",985.4,190.7,164.4,162.7,495.9,117.8,"1,401.30",211.4,269.4,"2,767.50",177.9,83.3,"2,506.30","10,664.30","1,263.90",458,441.2,837.6,175.9,580.3,619.5,378.7,378.5,268.7,"1,078.00",832.3,135.9,131.9,303.7,"1,923.00",367.3,241.6,248.4,"1,779.90",698,"1,081.90","9,115.60","6,029.20","1,297.00","1,789.40","9,878.90","1,006.80",190.2,467.6,811,"1,592.40","1,415.00",560.8,"1,537.00",321.3,"1,976.70","5,469.90",903.8,57.7,"1,439.70",497.9,318.2,340.5,138.7,714.9,"1,058.60","-1,420.60","4,193.80","1,105.70","-5,229.10","-1,491.00"
,2007,"118,885.00","10,465.30","9,368.70","1,096.70","5,022.60","2,483.10","1,704.90",..,834.6,"4,738.30",512.4,"3,313.60",187.3,725,"29,228.10","6,706.50","19,337.60",307.8,43.2,543.1,"1,029.10","1,030.20",230.5,"6,907.80","2,027.70",119.4,382,620.7,190.5,364.7,259.4,807.5,760.2,336.9,450.1,588.7,"4,612.00","1,717.90",0.5,446.8,"2,151.70",295.2,"16,699.00","2,319.10","2,653.70","1,491.00",318.1,"1,799.90","3,871.20","1,054.10",215.9,177.6,172.4,523.9,123.9,"1,472.00",219.7,286.7,"2,892.40",184.5,88.2,"2,619.70","11,368.70","1,338.70",498.8,466.4,906.2,176.5,629.2,648.1,404.8,397.7,307.4,"1,152.30",894.8,145.5,126.2,323.5,"2,082.70",373.3,234.2,262.2,"1,881.00",741.3,"1,139.70","9,616.40","6,281.20","1,396.80","1,938.30","10,805.70","1,048.90",209.6,524.2,814.9,"1,676.30","1,391.00",628.5,"1,742.50",382.1,"2,387.50","5,773.10",969.8,60.9,"1,503.70",534.6,341.6,362.1,142.2,789.5,"1,068.60","-1,125.60","4,680.00","1,151.40","-5,369.20","-1,587.80"
,2008,"123,428.00","11,043.00","9,895.20","1,147.70","5,150.30","2,677.10","1,643.40",..,829.8,"4,712.00",499.4,"3,308.20",187,717.3,"31,367.70","7,201.00","20,683.90",306.9,45.5,582.8,"1,164.60","1,118.00",264.9,"7,017.70","1,987.30",113.7,382,638.4,197.4,363.3,259.3,822,780.4,353.1,477.6,643.3,"4,839.40","1,769.00",0.5,453.9,"2,293.70",322.3,"16,437.20","2,178.30","2,112.30","1,322.50",310,"1,777.40","4,342.60","1,029.40",243.7,171.1,167.9,566.3,134.7,"1,560.90",235.5,284.6,"3,049.90",186.5,91.6,"2,771.90","11,534.70","1,336.60",516.7,483.2,840.8,172.2,677.1,646.6,413.8,414,322.9,"1,236.00",968.8,150,123.4,346.7,"2,029.00",369.1,226.5,261.2,"2,017.30",809,"1,208.30","9,790.40","6,436.10","1,410.30","1,944.00","10,927.90","1,113.00",206.7,553.1,811.6,"1,790.90","1,486.00",615.5,"1,834.10",415.9,"2,101.10","6,007.50","1,003.40",63.1,"1,529.20",538.1,344.3,373.8,151.8,883,"1,120.60",-466.9,"5,306.70","1,293.70","-5,276.30","-1,790.90"
,2009,"124,965.00","11,714.10","10,501.40","1,212.70","5,085.20","2,672.50","1,615.30",..,797.5,"4,598.10",473.1,"3,208.90",192,724,"33,486.20","7,841.90","22,392.10",293.1,48.4,630.4,"1,163.50",946.8,170,"6,791.40","1,827.20",97.3,356.5,624.7,194.8,349.6,244.5,790.6,796.2,361.4,487.2,661.4,"5,006.40","1,792.50",0.5,460.8,"2,413.60",339,"14,976.30","1,774.70","2,290.10","1,041.90",318.8,"1,746.50","3,532.80","1,012.20",284.6,167,165.1,617.9,139.2,"1,359.00",231.2,295.4,"3,177.20",191.3,93.5,"2,892.40","11,576.80","1,219.50",504.1,443.8,758.1,163.2,644.4,639.9,428.6,453.9,338.9,"1,283.70",994.6,161,126.9,373.4,"2,164.90",377.1,230.2,270.6,"2,142.00",885.5,"1,256.50","9,646.80","6,516.30","1,360.50","1,770.00","10,471.10","1,171.00",208,572,855,"1,768.00","1,431.00",535,"1,834.60",383.3,"1,713.20","6,167.30","1,021.60",62.1,"1,562.10",516,340.3,383.3,166.7,917.2,"1,198.00",126,"5,150.10","1,289.70","-4,775.20","-1,538.60"
,2010,"131,251.00","11,955.90","10,706.60","1,249.30","5,208.90","2,672.10","1,746.80",..,789.9,"4,816.50",488.1,"3,365.80",191.6,771,"35,501.80","8,350.50","23,765.20",302.1,53,691.9,"1,270.50",898.9,169.7,"6,918.50","1,863.20",100.3,363.8,625,198.3,352.7,251.7,811.1,797.5,368.6,491.6,694.7,"5,264.60","1,890.70",0.7,480.5,"2,531.80",360.9,"16,312.30","1,782.30","2,511.30","1,154.50",338.3,"1,879.00","3,991.60","1,090.80",315.1,166.8,178.7,664.5,150.1,"1,525.60",254.4,309.2,"3,238.80",204.5,97.7,"2,936.60","12,021.30","1,249.90",543.4,422.7,780.9,159.6,632.8,654.2,437.2,470.1,349,"1,487.90","1,116.30",165.9,131.6,396.1,"2,118.90",394.1,235.8,275,"2,291.00",959,"1,332.00","9,907.30","6,587.40","1,343.20","1,976.70","11,330.90","1,153.90",226,585,803,"1,909.50","1,633.60",563.3,"1,886.30",482.7,"2,087.60","6,411.70","1,036.10",63.1,"1,589.50",547.4,353.4,406.9,172.3,983.6,"1,259.40",71.6,"5,877.00","1,349.50","-5,412.00","-1,742.90"
,2011,"136,496.00","12,236.20","10,921.10","1,315.00","5,345.00","2,674.20","1,848.30",..,822.4,"5,018.20",505.4,"3,527.10",199.6,786.2,"37,264.80","8,696.70","24,898.50",294,56.4,758.3,"1,390.70",988.4,181.8,"6,881.70","1,851.20",95.5,351.9,623.4,200.9,352.2,250.2,805.6,822,373.1,461.1,694.7,"5,527.40","1,992.80",1,486.6,"2,665.60",381.4,"17,428.50","1,702.40","2,606.10","1,208.90",322.5,"1,902.40","4,775.10","1,123.90",333.5,172.6,183,703.7,159.7,"1,653.90",253,327.8,"3,452.50",218.3,106.3,"3,127.90","12,156.90","1,167.10",577.1,375.3,735.1,165.5,650.7,691.2,455,479.5,374.9,"1,474.90","1,191.60",160.1,136.6,390.2,"2,192.50",415.3,253.1,271.4,"2,462.50","1,021.00","1,441.50","9,794.70","6,538.00","1,288.50","1,968.20","11,994.00","1,179.70",260.5,586.5,799.4,"1,984.00","1,771.00",591.5,"2,036.40",537.8,"2,247.30","6,592.50","1,083.30",62.5,"1,561.00",583.7,358.9,427.7,175.3,"1,060.00","1,280.00",341.2,"6,449.70","1,411.90","-5,717.10","-1,803.30"
,2012,"140,749.00","12,549.40","11,255.20","1,294.20","5,484.20","2,740.90","1,880.40",..,862.9,"5,088.00",535.9,"3,512.70",201.5,837.9,"38,825.70","9,097.10","26,079.60",286.7,59.2,819.6,"1,402.10",906.3,175,"7,029.40","1,914.50",94.8,355.8,658,207.5,341.5,245.2,828.8,836.9,382.1,442.6,721.8,"5,718.20","2,023.90",1.4,482,"2,811.60",399.3,"18,259.70","1,877.20","2,840.60","1,365.30",333.6,"1,944.30","4,781.90","1,159.70",334.2,175,197.7,735.3,165.8,"1,745.90",260.6,342.7,"3,517.10",228.6,105.2,"3,183.30","12,253.20","1,015.90",543.4,398.9,747.9,163.4,619.5,759.7,483.2,491.2,390.1,"1,521.50","1,224.30",169.1,136.2,385.1,"2,281.30",412.8,234.3,275.1,"2,580.50","1,070.40","1,510.10","9,945.40","6,658.30","1,300.90","1,986.20","11,975.90","1,200.60",278.4,627.9,875.3,"1,840.00","1,659.00",624,"2,107.40",547.4,"2,215.90","6,868.00","1,094.60",64.3,"1,629.30",635.5,371,446.7,186.4,"1,120.60","1,319.70",654.3,"6,972.00","1,445.30","-5,941.60","-1,821.40"
,2013,"145,388.00","12,903.30","11,620.00","1,283.30","5,608.30","2,810.30","1,889.20",..,908.8,"5,212.10",559.6,"3,590.90",196.9,864.7,"40,538.60","9,541.80","27,347.00",278.4,58.7,885,"1,413.00",861.8,152.7,"7,237.30","2,017.50",95.7,357.1,683.7,237,338.3,266.8,864.5,866.2,363.6,426.3,720.6,"5,779.70","1,971.10",2,472.8,"2,913.70",420.1,"19,057.90","1,976.90","3,168.70","1,428.40",335.4,"1,986.70","4,873.20","1,174.20",346.6,175.3,245.4,767.9,162.7,"1,796.30",261.5,358.8,"3,666.20",229.7,102.2,"3,334.30","12,323.60",963,540.5,374.3,821.2,166,651.5,763.5,468.4,500.8,392,"1,532.20","1,288.80",165.2,130.5,394.5,"2,289.20",391.2,200.6,290.2,"2,748.00","1,137.60","1,610.30","10,253.00","6,817.80","1,370.20","2,065.00","12,619.90","1,240.30",313.8,644,920.8,"1,858.10","1,723.40",674,"2,196.80",628.7,"2,420.00","7,083.30","1,056.40",69.4,"1,712.90",648.1,378.5,467.3,192.2,"1,163.90","1,394.60",357,"7,323.80","1,437.90","-6,482.60","-1,922.10"
,2014,"152,839.00","13,673.30","12,361.50","1,311.70","5,851.70","2,963.30","1,977.00",..,911.4,"5,527.20",613.6,"3,783.30",198.7,931.5,"42,463.80","10,033.50","28,697.10",286.1,60.1,955.7,"1,336.60",955.1,139.6,"7,732.20","2,239.90",103.9,388.1,736.3,250.8,353.5,289.3,906.4,910.4,378.7,438.5,736.3,"6,014.80","2,048.20",4.4,496.4,"3,035.70",430.1,"20,280.00","2,122.10","3,604.60","1,486.70",347.7,"2,076.40","5,014.20","1,247.50",368,185.9,298.7,760.9,171.6,"1,944.90",275.5,375.3,"3,883.90",277.9,106.2,"3,499.80","12,778.30",950.5,572.1,373.1,925,180.6,677.2,799,454.5,513,426.2,"1,587.10","1,358.80",159.5,134.4,406.9,"2,366.10",405.7,186.8,301.9,"2,908.10","1,198.50","1,709.70","11,052.30","7,390.40","1,464.60","2,197.40","13,231.20","1,295.80",315.3,664.3,919.4,"1,938.50","1,777.00",721.7,"2,346.30",735.9,"2,517.00","7,400.70","1,063.80",75.1,"1,800.20",669.1,401.9,492.4,196.8,"1,244.70","1,456.60",41.5,"7,696.60","1,395.00","-7,217.80","-1,832.30"
,2015,"161,021.00","14,687.50","13,300.30","1,387.20","6,148.30","3,190.10","2,064.60",..,893.5,"6,131.00",674.9,"4,231.30",199.2,"1,025.60","44,414.90","10,534.60","30,056.20",314.7,62.6,"1,027.90","1,436.40",872.3,110.3,"8,369.40","2,520.40",107.8,426.6,799.6,259.1,360.9,326.9,"1,002.30",990.3,393,440.9,741.7,"6,366.00","2,179.80",8.5,532.1,"3,204.20",441.5,"21,074.00","2,201.60","4,194.70","1,643.70",379.9,"2,190.70","4,576.60","1,319.50",384.2,189.2,313.7,781.4,176.4,"2,039.30",290.4,392.9,"4,131.20",297.1,118.4,"3,715.60","13,377.30",941.8,573.8,377.1,"1,043.90",196.6,742.5,869.7,483.2,541.8,452.9,"1,655.90","1,333.60",166,133.1,421.8,"2,518.30",430.2,183.1,312,"3,072.30","1,283.80","1,788.40","11,805.40","7,893.00","1,549.70","2,362.70","13,847.60","1,338.90",331,669.1,985.7,"1,851.00","1,752.20",766.5,"2,578.70",798.6,"2,775.90","7,759.10","1,085.10",76.6,"1,928.40",743.1,437.1,505.1,198.9,"1,319.20","1,465.50",-163,"8,128.80","1,571.40","-7,850.40","-2,012.90"
,2016,"167,899.00","15,107.00","13,729.60","1,377.50","6,379.10","3,409.90","2,116.00",..,853.2,"6,388.90",740.6,"4,380.80",193.2,"1,074.30","46,654.90","11,117.80","31,563.30",346.4,65.3,"1,087.90","1,601.70",778,94.5,"8,916.90","2,742.00",119,456.3,904.8,279.9,403.4,339.3,"1,027.60","1,034.10",400.7,462.6,747.4,"6,707.40","2,273.50",31.2,585.9,"3,358.00",458.8,"22,265.40","2,182.60","4,859.90","1,812.20",397.5,"2,308.10","4,533.00","1,372.20",402.2,200.6,331.4,805.1,182,"2,157.60",308.5,412.3,"4,293.00",297.4,131.4,"3,864.20","13,889.60",967.9,593,363.6,"1,166.10",199.2,769.4,954.3,536,577.2,492.7,"1,757.70","1,356.50",173,128.7,432.7,"2,517.90",442.6,175,286.1,"3,284.00","1,391.90","1,892.10","12,765.70","8,554.30","1,647.10","2,564.30","14,256.00","1,398.20",339.6,681.3,890.8,"1,930.90","1,778.20",809.2,"2,635.20",832.7,"2,959.90","8,163.50","1,108.70",81.3,"2,048.30",818.2,466,533.4,200.2,"1,401.80","1,505.80","-1,172.40","8,057.90","1,781.10","-8,795.60","-2,215.80"
